"seq","locale","as_is_url","to_be_url","val"
1,UK,/uk/about-lg/career/find-a-job/business-development-manager,/uk/about-lg/career/find-a-job/,business-development-manager
2,UK,/uk/about-lg/career/find-a-job/business-support-administrator,/uk/about-lg/career/find-a-job/,business-support-administrator
3,UK,/uk/about-lg/career/find-a-job/data-analytics-manager,/uk/about-lg/career/find-a-job/,data-analytics-manager
4,UK,/uk/about-lg/career/find-a-job/Demand Planner,/uk/about-lg/career/find-a-job/,Demand Planner
5,UK,/uk/about-lg/career/find-a-job/demand-planner-home-entertainment-led-oled-acc,/uk/about-lg/career/find-a-job/,demand-planner-home-entertainment-led-oled-acc
6,UK,/uk/about-lg/career/find-a-job/direct-delivery-coordinator,/uk/about-lg/career/find-a-job/,direct-delivery-coordinator
7,UK,/uk/about-lg/career/find-a-job/DMS-Engineer,/uk/about-lg/career/find-a-job/,DMS-Engineer
8,UK,/uk/about-lg/career/find-a-job/environmental-compliance-administrator,/uk/about-lg/career/find-a-job/,environmental-compliance-administrator
9,UK,/uk/about-lg/career/find-a-job/ha-national-account-manager,/uk/about-lg/career/find-a-job/,ha-national-account-manager
10,UK,/uk/about-lg/career/find-a-job/head-of-audio,/uk/about-lg/career/find-a-job/,head-of-audio
11,UK,/uk/about-lg/career/find-a-job/Heating Engineer,/uk/about-lg/career/find-a-job/,Heating Engineer
12,UK,/uk/about-lg/career/find-a-job/heating-sales-manager,/uk/about-lg/career/find-a-job/,heating-sales-manager
13,UK,/uk/about-lg/career/find-a-job/index,/uk/about-lg/career/find-a-job/,index
14,UK,/uk/about-lg/career/find-a-job/it-key-account-manager,/uk/about-lg/career/find-a-job/,it-key-account-manager
15,UK,/uk/about-lg/career/find-a-job/led-sales-manager,/uk/about-lg/career/find-a-job/,led-sales-manager
16,UK,/uk/about-lg/career/find-a-job/LED-Solutions-Engineer,/uk/about-lg/career/find-a-job/,LED-Solutions-Engineer
17,UK,/uk/about-lg/career/find-a-job/legal-counsel,/uk/about-lg/career/find-a-job/,legal-counsel
18,UK,/uk/about-lg/career/find-a-job/nam-audio,/uk/about-lg/career/find-a-job/,nam-audio
19,UK,/uk/about-lg/career/find-a-job/online-brand-shop-manager,/uk/about-lg/career/find-a-job/,online-brand-shop-manager
20,UK,/uk/about-lg/career/find-a-job/pricing_manager_he,/uk/about-lg/career/find-a-job/,pricing_manager_he
21,UK,/uk/about-lg/career/find-a-job/product-marketing-manager-home-entertainment,/uk/about-lg/career/find-a-job/,product-marketing-manager-home-entertainment
22,UK,/uk/about-lg/career/find-a-job/Quality-Assurance-Engineer,/uk/about-lg/career/find-a-job/,Quality-Assurance-Engineer
23,UK,/uk/about-lg/career/find-a-job/Senior-Manager-National-Heating-Sales,/uk/about-lg/career/find-a-job/,Senior-Manager-National-Heating-Sales
24,UK,/uk/about-lg/career/find-a-job/service-business-analyst,/uk/about-lg/career/find-a-job/,service-business-analyst
25,UK,/uk/about-lg/career/find-a-job/shopper-experience-manager,/uk/about-lg/career/find-a-job/,shopper-experience-manager
26,UK,/uk/about-lg/career/find-a-job/supply-chain-logistics-innovator,/uk/about-lg/career/find-a-job/,supply-chain-logistics-innovator
27,UK,/uk/about-lg/career/find-a-job/technical-service-manager,/uk/about-lg/career/find-a-job/,technical-service-manager
28,UK,/uk/about-lg/career/ha,/uk/about-lg/careers/,""
29,UK,/uk/about-lg/careers/find-a-job/,/uk/about-lg/careers/find-a-job/,""
30,UK,/uk/about-lg/index,/uk/about-lg/,""
31,UK,/uk/about-lg/our-brand/index,/uk/about-lg/our-brand/index/,""
32,UK,/uk/about-lg/press-media/1000-pound-kitchen-investment-gives-10000-pound-return,/uk/about-lg/newsroom/,"1000-pound-kitchen-investment-gives-10000-pound-return"
33,UK,/uk/about-lg/press-media/99-PER-CENT-OF-BRITS-CANNOT-RECOGNISE-COMMON-GARMENT-CARE-SYMBOLS-DESPITE-9-IN-10-OWNING-A-WASHING-MACHINE,/uk/about-lg/newsroom/,"99-PER-CENT-OF-BRITS-CANNOT-RECOGNISE-COMMON-GARMENT-CARE-SYMBOLS-DESPITE-9-IN-10-OWNING-A-WASHING-MACHINE"
34,UK,/uk/about-lg/press-media/Brits-Forgo-Washing-Underwear-to-Help-the-Environment,/uk/about-lg/newsroom/,Brits-Forgo-Washing-Underwear-to-Help-the-Environment
35,UK,/uk/about-lg/press-media/DESIGNED-WITH-SOLID-FUNDAMENTALS-NEW-LG-Q-AND-K-SERIES-ARE-DESIGNED-TO-IMPRESS,/uk/about-lg/newsroom/,DESIGNED-WITH-SOLID-FUNDAMENTALS-NEW-LG-Q-AND-K-SERIES-ARE-DESIGNED-TO-IMPRESS
36,UK,/uk/about-lg/press-media/EVOLUTION-OF-THE-EYE-REVEALED-WITH-LG-OLED-TV-AND-NATURAL-HISTORY-MUSEUM,/uk/about-lg/newsroom/,EVOLUTION-OF-THE-EYE-REVEALED-WITH-LG-OLED-TV-AND-NATURAL-HISTORY-MUSEUM
37,UK,/uk/about-lg/press-media/EXCEPTIONAL-PICTURE-QUALITY-OF-LGs-2017-4K-TVS-CERTIFIED-BY-EUROFINS,/uk/about-lg/newsroom/,EXCEPTIONAL-PICTURE-QUALITY-OF-LGs-2017-4K-TVS-CERTIFIED-BY-EUROFINS
38,UK,/uk/about-lg/press-media/EXCLUSIVE-BTS-CONTENT-AVAILABLE-ONLY-ON-LG-SMARTPHONES,/uk/about-lg/newsroom/,EXCLUSIVE-BTS-CONTENT-AVAILABLE-ONLY-ON-LG-SMARTPHONES
39,UK,/uk/about-lg/press-media/get-the-message-with-lgs-new-ks360,/uk/about-lg/newsroom/,get-the-message-with-lgs-new-ks360
40,UK,/uk/about-lg/press-media/index,/uk/about-lg/newsroom/,""
41,UK,/uk/about-lg/press-media/inimitable-style-slender-strength,/uk/about-lg/newsroom/,inimitable-style-slender-strength
42,UK,/uk/about-lg/press-media/INTRODUCING-A-MORE-PLAYFUL-AND-INNOVATIVE-LG-UX-50,/uk/about-lg/newsroom/,INTRODUCING-A-MORE-PLAYFUL-AND-INNOVATIVE-LG-UX-50
43,UK,/uk/about-lg/press-media/INTRODUCING-THE-G4c-THE-NEWEST-MEMBER-O-LGS-G4-SERIES,/uk/about-lg/newsroom/,INTRODUCING-THE-G4c-THE-NEWEST-MEMBER-O-LGS-G4-SERIES
44,UK,/uk/about-lg/press-media/lg-2021-soundbars-offer-premium-audio-and-ai-features,/uk/about-lg/newsroom/,lg-2021-soundbars-offer-premium-audio-and-ai-features
45,UK,/uk/about-lg/press-media/lg-adds-touch-of-class-to-gsma-world-congress-2008-with-cutting-edge-line-up-of-new-devices,/uk/about-lg/newsroom/,lg-adds-touch-of-class-to-gsma-world-congress-2008-with-cutting-edge-line-up-of-new-devices
46,UK,/uk/about-lg/press-media/LG-ADVANCES-SMART-HOME-ECOSYSTEM-WITH-SMART-THINQ-HUB-AT-CES-2016,/uk/about-lg/newsroom/,LG-ADVANCES-SMART-HOME-ECOSYSTEM-WITH-SMART-THINQ-HUB-AT-CES-2016
47,UK,/uk/about-lg/press-media/LG-APPLIANCES-awarded-Energy-Saving-Trust-verification,/uk/about-lg/newsroom/,LG-APPLIANCES-awarded-Energy-Saving-Trust-verification
48,UK,/uk/about-lg/press-media/LG-BEGINS-ANDROID-60-MARSHMALLOW-ROLLOUT-STARTING-WITH-G4,/uk/about-lg/newsroom/,LG-BEGINS-ANDROID-60-MARSHMALLOW-ROLLOUT-STARTING-WITH-G4
49,UK,/uk/about-lg/press-media/LG-BEGINS-UK-ROLLOUT-OF-2020-TV-LINEUP-SPEARHEADED-BY-AWARD-WINNING-OLED-TVS,/uk/about-lg/newsroom/,LG-BEGINS-UK-ROLLOUT-OF-2020-TV-LINEUP-SPEARHEADED-BY-AWARD-WINNING-OLED-TVS
50,UK,/uk/about-lg/press-media/LG-BRINGS-INTELLIGENT-MANUFACTURING-SOLUTIONS-TO-HANNOVER-MESSE-2019,/uk/about-lg/newsroom/,LG-BRINGS-INTELLIGENT-MANUFACTURING-SOLUTIONS-TO-HANNOVER-MESSE-2019
51,UK,/uk/about-lg/press-media/lg-brings-new-meaning-to-pc-entertainment,/uk/about-lg/newsroom/,lg-brings-new-meaning-to-pc-entertainment
52,UK,/uk/about-lg/press-media/lg-captures-the-moment-with-the-new-lg-kc550,/uk/about-lg/newsroom/,lg-captures-the-moment-with-the-new-lg-kc550
53,UK,/uk/about-lg/press-media/LG-COMMITS-TO-CARBON-NEUTRALITY-BY-2030,/uk/about-lg/newsroom/,LG-COMMITS-TO-CARBON-NEUTRALITY-BY-2030
54,UK,/uk/about-lg/press-media/lg-electronics-2008-lcd-hdtv-line-includes-eight-series-focus-on-design-superior-performance,/uk/about-lg/newsroom/,lg-electronics-2008-lcd-hdtv-line-includes-eight-series-focus-on-design-superior-performance
55,UK,/uk/about-lg/press-media/lg-electronics-announces-new-symbian-smartphone-with-gps,/uk/about-lg/newsroom/,lg-electronics-announces-new-symbian-smartphone-with-gps
56,UK,/uk/about-lg/press-media/lg-electronics-becomes-a-global-partner-of-formula-1,/uk/about-lg/newsroom/,lg-electronics-becomes-a-global-partner-of-formula-1
57,UK,/uk/about-lg/press-media/lg-electronics-expands-it-product-portfolio-unveiling-new-lcd-monitors-optical-storage-options,/uk/about-lg/newsroom/,lg-electronics-expands-it-product-portfolio-unveiling-new-lcd-monitors-optical-storage-options
58,UK,/uk/about-lg/press-media/LG-ELECTRONICS-HONORED-WITH-FOUR-EISA-AWARDS,/uk/about-lg/newsroom/,LG-ELECTRONICS-HONORED-WITH-FOUR-EISA-AWARDS
59,UK,/uk/about-lg/press-media/lg-electronics-renews-multi-million-sponsorship-deal-with-the-fa,/uk/about-lg/newsroom/,lg-electronics-renews-multi-million-sponsorship-deal-with-the-fa
60,UK,/uk/about-lg/press-media/LG-Electronics-UK-Ltd-Tax-Strategy,/uk/about-lg/newsroom/,LG-Electronics-UK-Ltd-Tax-Strategy
61,UK,/uk/about-lg/press-media/LG-EMERGES-AS-BIG-WINNER-AT-2019-RED-DOT-DESIGN-AWARDS,/uk/about-lg/newsroom/,LG-EMERGES-AS-BIG-WINNER-AT-2019-RED-DOT-DESIGN-AWARDS
